CPR;Bloc;Application;Statut;Détail
Accessibilité ERI Audits;SIMM;CA-TS;Composant utilisé;
Accessibilité ERI Audits;HUB;CA-TS;Composant utilisé;
Accessibilité ERI Audits;APX9;CA-TS;Composant utilisé;
Accessibilité ERI Audits;W5;Avanet;Composant non exploité;
Accessibilité ERI Audits;AEDI;Avanet;Composant non exploité;
Accessibilité ERI Audits;SVOD;Avanet;Composant non exploité;
Accessibilité ERI Audits;PW;Avanet;Composant non exploité;
Accessibilité ERI Audits;VS;SimulAssur;Composant non exploité;
Accessibilité ERI Audits;SR;SimulAssur;Composant non exploité;
Accessibilité ERI Audits;EP;SimulAssur;Composant non exploité;
Accessibilité ERI Audits;J2;Plateforme Data (PFD);Composant non exploité;
Accessibilité ERI Audits;J6;Plateforme Data (PFD);Composant non exploité;
Accessibilité ERI Audits;J8;Plateforme Data (PFD);Composant non exploité;
Accessibilité ERI Audits;MesComptes;LCL;Composant non exploité;
Accessibilité ERI Audits;BEL;LCL;Composant non exploité;
Accessibilité ERI Audits;Docapost;LCL;Composant non exploité;
Accessibilité ERI Audits;BD;Prediweb 1;Composant non exploité;
Accessibilité ERI Audits;SGR;Prediweb 1;Composant non exploité;
Accessibilité ERI Audits;PY;Prediweb 2;Composant non exploité;
Accessibilité ERI Audits;AJ;AIA V4 (Sinistres);Composant non exploité;
Accessibilité ERI Audits;PWC2;ETL;Composant non exploité;
Accessibilité ERI Audits;EBX;EBX;Composant non exploité;
Accessibilité ERI Audits;VL;REFUC;Composant non exploité;
Accessibilité ERI Audits;BX;BDOC;Composant non exploité;
Accessibilité ERI Audits;ONDM;Editique;Composant non exploité;
VR Selfcare;APPE;New NOVA (K8S+AWS);Composant créé ou modifié;
VR Selfcare;CJNI;New NOVA (K8S+AWS);Composant créé ou modifié;
VR Selfcare;C8;New NOVA (K8S+AWS);Composant créé ou modifié;
VR Selfcare;D9;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F3;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F4;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F5;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F6;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F7;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;F8;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;G3;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;G4;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;G6;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;GQ;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;H4;New NOVA (K8S+AWS);Composant utilisé;
VR Selfcare;HH;New NOVA (K8S+AWS);Composant utilisé;
VR Selfcare;I5;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;I9;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;K7;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;K9;New NOVA (K8S+AWS);Composant non exploité;
VR Selfcare;L8;New NOVA (K8S+AWS);Composant non exploité;
